,Zona,Titulo,Teléfono,Dirección,Información General,Principal,Enrolment,Ethos,Catchment,Fees
0,Dublin-1,Belvedere College S.J. ,Phone:_ 01-8586600  ," 6 Gt Denmark Street Dublin 1  ,Dublin City D01TK25",Post Primary School  Roll number:_60520P e:_dreddy@belvederecollege.ie w:_www.belvederecollege.ie, Principal:_Gerry Foley ,Enrolment:_Boys:_1003    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,"Fees:_Yes €6,530"
1,Dublin-1,Larkin Community College ,Phone:_ 01-8741913  ," Champions Avenue, Cathal Brugha Street Dublin 1  ,Dublin City D01WD93",Post Primary School  Roll number:_76077O e:_info@larkincommunitycollege.ie w:_www.larkincommunitycollege.ie  Check out their Facebook page, Principal:_Thomas Usher ,Enrolment:_Boys:_204 Girls:_203    (2022/23) ,Ethos:_Inter Denominational   ,:_North Inner City ,Fees:_No 
2,Dublin-1,Mount Carmel Secondary School ,Phone:_ 01-8730958  ," Kings Inn Street, Dublin  ,Dublin City D01W657",Post Primary School  Roll number:_60853T e:_info@mountcarmel.ie w:_mountcarmelsecondaryschool.ie, Principal:_Mr Gerard Cullen ,Enrolment:_Girls:_399    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,Fees:_No 
3,Dublin-1,O'connell School ,Phone:_ 01-8748307  ," North Richmond Street Dublin 1  ,Dublin City D01Y4A9",Post Primary School  Roll number:_60440R e:_secretary@oconnellschool.ie w:_oconnellschool.ie  Check out their facebook!, Principal:_Liam Newell ,Enrolment:_Boys:_213    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,Fees:_No 
4,Dublin-2,Loreto College ,Phone:_ 01-6618179  ," 53 St Stephens Green Dublin 2  ,Dublin City D02XE79",Post Primary School  Roll number:_60820E e:_info@loretothegreen.ie w:_www.loretothegreen.ie, Principal:_Jacqueline Dempsey ,Enrolment:_Girls:_570    (2022/23) ,Ethos:_Catholic   ,:_South Inner City ,"Fees:_Yes €5,200"
5,Dublin-2,Institute Of Education ,Phone:_ 01 6613511  ," 79/85 Lower Leeson Street Dublin 2  ,Dublin City 2",Post Primary School  Roll number:_50002K e:_info@instituteofeducation.ie w:_www.ioe.ie, Principal:_Anne Marie Griffin ,Enrolment:_   (2022/23) ,Ethos:_    ,,Fees:_ Yes
6,Dublin-2,Catholic University School ,Phone:_ 01-6762586  ," 89 Lower Leeson Street Dublin 2  ,Dublin City D02KC81",Post Primary School  Roll number:_60540V e:_office@cus.ie w:_www.cus.ie  Check out their Facebook page!, Principal:_Clive Martin ,Enrolment:_Boys:_561    (2022/23) ,Ethos:_Catholic   ,:_South Inner City ,"Fees:_Yes €5,700"
7,Dublin-2,C.B.S. Westland Row ,Phone:_ 01-6614143  ," Westland Row Dublin 2  ,Dublin City D02YX80",Post Primary School  Roll number:_60490J e:_info@cbswestlandrow.ie w:_www.cbswestlandrow.ie, Principal:_Kate Byrne ,Enrolment:_Boys:_97 Girls:_90    (2022/23) ,Ethos:_Catholic   ,:_South Inner City ,Fees:_No 
8,Dublin-3,Holy Faith Secondary School ,Phone:_ 01-8331507  ," 1 Belgrove Road Clontarf Dublin 3  ,Dublin City D03R528",Post Primary School  Roll number:_60750J e:_admin@holyfaithclontarf.com   w:_www.holyfaithclontarf.com, Principal:_Ms Deirdre Gogarty ,Enrolment:_Girls:_643    (2022/23) ,Ethos:_Catholic   ,:_Edenmore-Raheny-Clontarf-Killester ,Fees:_No 
9,Dublin-3,Marino College ,Phone:_ 01-8332100  ," 14-20 Marino Mart Fairview Dublin 3  ,Dublin City D03DR72",Post Primary School  Roll number:_70250S e:_info@marino.cdetb.ie w:_www.marinocollege.ie  Check out their facebook!, Principal:_Mary McAteer ,Enrolment:_Boys:_106 Girls:_154    (2022/23) ,Ethos:_Inter Denominational   ,:_Finglas ,Fees:_No 
10,Dublin-3,Mount Temple Comprehensive School ,Phone:_ 01-8336984  ," Malahide Road Dublin 3  ,Dublin City D03DX79",Post Primary School  Roll number:_81002K e:_office@mounttemple.ie w:_www.mounttemple.ie, Principal:_Liam Wegimont ,Enrolment:_Boys:_467 Girls:_425    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ",Fees:_No 
11,Dublin-3,St Josephs C.B.S. ,Phone:_ 01-8339779  ," Merville Ave Fairview Dublin 3  ,Dublin City D03PF72",Post Primary School  Roll number:_60390F e:_info@stjosephsfairview.ie w:_www.stjosephsfairview.ie, Principal:_Sean Stack ,Enrolment:_Boys:_255    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,Fees:_No 
12,Dublin-4,The Teresian School ,Phone:_ 01-2691376  ," 12 Stillorgan Road Donnybrook Dublin 4  ,Dublin City D04E9X5",Post Primary School  Roll number:_60892G e:_secretary@teresian.ie w:_www.teresian.ie, Principal:_Deirdre Hickey ,Enrolment:_Girls:_236    (2022/23) ,Ethos:_Catholic   ,:_Sandymount-Ballsbridge-Donnybrook ,"Fees:_Yes €5,965"
13,Dublin-4,St Conleths College ,Phone:_ 01-6680022  ," 28 Clyde Road Ballsbridge Dublin 4  ,Dublin Belgard D04FT98",Post Primary School  Roll number:_60590N e:_admin@stconleths.ie w:_www.stconleths.ie, Principal:_Donal E O Dulaing ,Enrolment:_Boys:_229 Girls:_99    (2022/23) ,Ethos:_Catholic   ,:_Sandymount-Ballsbridge-Donnybrook ,"Fees:_No €5,800"
